Date,Region,Product,Price,Quantity,Total_Sale,Client_ID
2023-01-31,Norte,Medicamento B,96.72,5,483.6,123
2023-01-31,Norte,Medicamento A,83.1,7,581.7,126
2023-01-31,Norte,Medicamento A,59.82,1,59.82,39
2023-01-31,Norte,Medicamento B,82.06,5,410.3,22
2023-01-31,Norte,Medicamento B,16.25,7,113.75,156
2023-01-31,Norte,Cosmético,80.12,4,320.48,199
2023-01-31,Norte,Cosmético,41.14,8,329.12,77
2023-01-31,Norte,Cosmético,99.05,5,495.25,146
2023-01-31,Norte,Cosmético,10.72,2,21.44,196
2023-01-31,Norte,Medicamento B,64.42,5,322.1,170
2023-01-31,Norte,Medicamento A,19.92,3,59.76,142
2023-01-31,Norte,Medicamento A,19.87,7,139.09,116
2023-01-31,Norte,Cosmético,49.64,1,49.64,60
2023-01-31,Norte,Medicamento C,72.16,8,577.28,19
2023-01-31,Norte,Medicamento B,92.77,10,927.7,170
2023-01-31,Norte,Medicamento B,45.39,9,408.51,58
2023-01-31,Norte,Medicamento B,91.3,3,273.9,19
2023-01-31,Norte,Medicamento A,20.76,5,103.8,153
2023-01-31,Norte,Cosmético,92.51,8,740.08,32
2023-01-31,Norte,Produto de Higiene,70.42,7,492.94,70
2023-01-31,Norte,Cosmético,56.3,8,450.4,21
2023-01-31,Norte,Cosmético,8.79,7,61.53,189
2023-01-31,Norte,Medicamento C,62.35,1,62.35,24
2023-01-31,Norte,Medicamento B,96.38,10,963.8,151
2023-01-31,Norte,Medicamento A,99.96,5,499.8,148
2023-01-31,Norte,Medicamento A,77.5,3,232.5,121
2023-01-31,Norte,Cosmético,66.89,5,334.45,47
2023-01-31,Norte,Cosmético,46.41,8,371.28,24
2023-01-31,Norte,Produto de Higiene,38.06,6,228.36,83
2023-01-31,Norte,Medicamento A,86.48,6,518.88,106
2023-01-31,Norte,Produto de Higiene,32.38,7,226.66,195
2023-01-31,Norte,Cosmético,8.49,2,16.98,81
2023-01-31,Norte,Medicamento C,35.71,7,249.97,132
2023-01-31,Norte,Medicamento A,67.48,9,607.32,119
2023-01-31,Norte,Produto de Higiene,10.15,9,91.35,93
2023-01-31,Norte,Cosmético,76.86,8,614.88,195
2023-01-31,Norte,Medicamento A,24.34,9,219.06,34
2023-01-31,Norte,Medicamento C,46.62,8,372.96,32
2023-01-31,Norte,Medicamento A,97.45,10,974.5,62
2023-01-31,Norte,Medicamento B,34.52,1,34.52,142
2023-01-31,Norte,Produto de Higiene,13.85,2,27.7,119
2023-01-31,Norte,Medicamento A,66.53,3,199.59,128
2023-01-31,Norte,Medicamento C,53.34,5,266.7,107
2023-01-31,Norte,Produto de Higiene,98.12,4,392.48,117
2023-01-31,Norte,Cosmético,18.74,4,74.96,154
2023-01-31,Norte,Cosmético,75.9,3,227.7,18
2023-01-31,Norte,Medicamento C,78.4,7,548.8,88
2023-01-31,Norte,Cosmético,30.38,1,30.38,73
2023-01-31,Norte,Medicamento C,84.56,10,845.6,169
2023-01-31,Norte,Produto de Higiene,87.2,8,697.6,138
2023-01-31,Norte,Produto de Higiene,37.79,9,340.11,196
2023-01-31,Norte,Cosmético,40.83,6,244.98,49
2023-01-31,Norte,Medicamento B,59.32,4,237.28,199
2023-01-31,Norte,Produto de Higiene,9.15,8,73.2,181
2023-01-31,Norte,Produto de Higiene,41.68,3,125.04,127
2023-01-31,Norte,Medicamento A,16.99,10,169.9,85
2023-01-31,Norte,Medicamento A,88.05,8,704.4,26
2023-01-31,Norte,Cosmético,91.49,1,91.49,185
2023-01-31,Norte,Medicamento B,43.95,3,131.85,20
